timestamp_iso,elapsed_seconds,heart_rate_bpm,rmssd_ms,arousal_score,valence_score,emotion_label,transcript,llm_response
2026-07-27T20:48:24.060722,14.63,,,0.5,0.0,aroused-positive,,[Gemini Rate Limit Reached — Waiting for quota reset...]
2026-07-27T20:48:27.612944,18.18,81.99,195.65,0.0,0.0,calm-positive,,[Gemini Rate Limit Reached — Waiting for quota reset...]
2026-07-27T20:48:31.620384,22.19,92.41,335.23,0.0,0.0,calm-positive,,[Gemini Rate Limit Reached — Waiting for quota reset...]
2026-07-27T20:48:35.689398,26.26,87.02,291.99,0.0,0.0,calm-positive,,[Gemini Rate Limit Reached — Waiting for quota reset...]
2026-07-27T20:48:39.955639,30.53,64.1,213.22,0.0,0.0,calm-positive,,[Gemini Rate Limit Reached — Waiting for quota reset...]
2026-07-27T20:48:43.828313,34.4,76.09,246.19,0.0,0.0,calm-positive,,[Gemini Rate Limit Reached — Waiting for quota reset...]
2026-07-27T20:48:47.931721,38.5,123.1,281.45,0.0,0.0,calm-positive,,[Gemini Rate Limit Reached — Waiting for quota reset...]
2026-07-27T20:48:51.935920,42.51,88.1,246.15,0.0,0.0,calm-positive,,[Gemini Rate Limit Reached — Waiting for quota reset...]
2026-07-27T20:48:55.996900,46.57,88.07,238.47,0.0,0.0,calm-positive,,[Gemini Rate Limit Reached — Waiting for quota reset...]
2026-07-27T20:49:00.087588,50.66,60.1,415.42,0.0,0.0,calm-positive,,[Gemini Rate Limit Reached — Waiting for quota reset...]
2026-07-27T20:49:04.053636,54.62,60.09,277.08,0.0,0.0,calm-positive,,[Gemini Rate Limit Reached — Waiting for quota reset...]
2026-07-27T20:49:09.745506,60.32,62.36,303.5,0.0,1.0,calm-positive,,[Gemini Rate Limit Reached — Waiting for quota reset...]
2026-07-27T20:49:13.641045,64.21,60.12,309.34,0.0,0.0,calm-positive,,[Gemini Rate Limit Reached — Waiting for quota reset...]
2026-07-27T20:49:17.854794,68.42,60.04,191.84,0.0,0.0,calm-positive,,[Gemini Rate Limit Reached — Waiting for quota reset...]
2026-07-27T20:49:21.807745,72.38,60.09,184.01,0.0,0.0,calm-positive,,[Gemini Rate Limit Reached — Waiting for quota reset...]
