timestamp_iso,elapsed_seconds,heart_rate_bpm,rmssd_ms,arousal_score,valence_score,emotion_label,transcript,llm_response
2026-07-27T18:42:23.467938,12.01,49.99,429.28,0.0,0.0,calm-positive,,It feels like you're
2026-07-27T18:42:26.286870,14.83,143.78,251.05,0.0,0.0,calm-positive,,It feels like a
2026-07-27T18:42:32.591936,21.13,128.69,310.36,0.0,0.081,calm-positive,,It sounds like you're
2026-07-27T18:42:37.876993,26.42,128.74,370.13,0.0,0.0,calm-positive,,It sounds like you
2026-07-27T18:42:44.608243,33.15,148.83,197.15,0.0,0.322,calm-positive,,It sounds like you're
2026-07-27T18:42:50.949801,39.49,128.24,323.92,0.0,0.453,calm-positive,,It's lovely to sense
2026-07-27T18:42:55.818621,44.36,168.81,303.68,0.0,0.0,calm-positive,,"[LLM ERROR] Gemini API call failed: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash
Please retry in 35.680089001s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 5
}
, retry_delay {
  seconds: 35
}
]"
2026-07-27T18:43:02.347254,50.89,116.25,299.03,0.0,0.0,calm-positive,,"[LLM ERROR] Gemini API call failed: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash
Please retry in 29.164720063s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 5
}
, retry_delay {
  seconds: 29
}
]"
2026-07-27T18:43:07.865499,56.4,72.07,245.4,0.0,0.0,calm-positive,,"[LLM ERROR] Gemini API call failed: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash
Please retry in 23.634861382s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 5
}
, retry_delay {
  seconds: 23
}
]"
2026-07-27T18:43:15.358061,63.9,116.38,176.35,0.0,0.0,calm-positive,,It sounds like you'
2026-07-27T18:43:21.374858,69.91,52.12,366.2,0.0,0.0,calm-positive,,It sounds like you'
2026-07-27T18:43:27.512855,76.05,56.17,273.08,0.0,0.0,calm-positive,,It's perfectly
